brand,en_name,kor_name,product_num,model,release,color,price,re_price,wish,review,link
Nike,Nike x Peaceminusone Kwondo1 White,나이키 x 피스마이너스원 퀀도1 화이트,45030,DH2482-100,21/12/03,WHITE/WHITE-WHITE,"219,000원","250,000",2.5만,"2,102",https://kream.co.kr/products/45030
Nike,(W) Nike Dunk Low Black,(W) 나이키 덩크 로우 블랙,28030,DD1503-101,21/01/04,WHITE/BLACK,"129,000원","260,000",4.9만,"3,741",https://kream.co.kr/products/28030
Nike,Nike x Off-White Blazer Low '77 White and University Red,나이키 x 오프화이트 블레이저 로우 '77 화이트 앤 유니버시티 레드,50950,DH7863-100,22/04/08,WHITE/UNIVERSITY RED,"169,000원","245,000","3,177",84,https://kream.co.kr/products/50950
Jordan,(W) Jordan 1 Low White Dark Marina Blue,(W) 조던 1 로우 화이트 다크 마리나 블루,55067,DC0774-114,22/03/20,WHITE/DARK MARINA BLUE/WHITE,"129,000원","215,000",1.1만,137,https://kream.co.kr/products/55067
Nike,(W) Nike Air Force 1 '07 Low White,(W) 나이키 에어포스 1 '07 로우 화이트,13100,315115-112/DD8959-100,-,WHITE/WHITE,"129,000원","152,000",4만,690,https://kream.co.kr/products/13100
New Balance,New Balance 993 Made in USA Grey - D Standard,뉴발란스 993 메이드 인 USA 그레이 - D 스탠다드,23852,MR993GL,18/08/21,GREY/WHITE,"$155 (약 190,100원)","266,000",2.2만,"1,094",https://kream.co.kr/products/23852
Nike,Nike SB Dunk Low Pro PRM Paisley,나이키 SB 덩크 로우 프로 프리미엄 페이즐리,56267,DH7534-200,22/04/11,BROWN/MULI-COLOR-WHITE-GUM,"139,000원","195,000",860,9,https://kream.co.kr/products/56267
Nike,Nike x Sacai x Fragment LDWaffle Light Smoke Grey,나이키 x 사카이 x 프라그먼트 LD와플 라이트 스모크 그레이,39449,DH2684-001,21/08/24,LT SMOKE GREY/WHITE-BLACK,"209,000원","549,000",1.8만,962,https://kream.co.kr/products/39449
Adidas Yeezy,Adidas Yeezy Boost 350 V2 Bone,아디다스 이지 부스트 350 V2 본,54743,HQ6316,22/03/21,BONE/BONE/BONE,"319,000원","345,000","4,608",104,https://kream.co.kr/products/54743
Nike,Nike Dunk Low Retro PRM Halloween,나이키 덩크 로우 레트로 프리미엄 할로윈,43374,DD3357-100,22/01/18,SAIL/STARFISH-BLACK,"129,000원","275,000",2.5만,"1,011",https://kream.co.kr/products/43374
Jordan,Jordan 1 Low Golf Wolf Grey,조던 1 로우 골프 울프 그레이,48705,DD9315-002,22/01/14,WOLF GREY/BLACK-PHOTON DUST-WHITE,"179,000원","305,000",1.8만,380,https://kream.co.kr/products/48705
New Balance,New Balance 992 Made in USA Grey - D Standard,뉴발란스 992 메이드 인 USA 그레이 - D 스탠다드,23523,M992GR,20/04/13,GREY,"259,000원","385,000",3.6만,"2,254",https://kream.co.kr/products/23523
Nike,Nike x NBA Dunk Low Retro EMB Black and Chile Red,나이키 x NBA 덩크 로우 레트로 EMB 블랙 앤 칠리 레드,42390,DD3363-100,22/03/23,SAIL/BLACK-BLACK-CHILE RED,"119,000원","188,000",1.8만,681,https://kream.co.kr/products/42390
Jordan,Jordan 1 Low Golf Chicago,조던 1 로우 골프 시카고,48708,DD9315-600,22/01/14,VARSITY RED/BLACK-WHITE,"179,000원","324,000","8,622",335,https://kream.co.kr/products/48708
Jordan,(W) Jordan 1 Elevate Low SE University Blue,(W) 조던 1 엘리베이트 로우 SE 유니버시티 블루,57341,DQ3698-141,22/04/14,UNIVERSITY BLUE/WHITE,"169,000원","225,000",720,2,https://kream.co.kr/products/57341
New Balance,New Balance 2002R Grey,뉴발란스 2002R 그레이,25785,ML2002RC,20/09/25,GREY,"149,000원","147,000","9,812",123,https://kream.co.kr/products/25785
Nike,(W) Nike Dunk Low Vintage Midnight Navy,(W) 나이키 덩크 로우 빈티지 미드나잇 네이비,47184,DD1503-115,21/12/18,MIDNIGHT NAVY/WHITE,"129,000원","350,000",2.1만,221,https://kream.co.kr/products/47184
Jordan,Jordan 1 Retro High OG Heritage,조던 1 레트로 하이 OG 헤리티지,52130,555088-161,22/04/04,WHITE/UNIVERSITY RED-BLACK,"209,000원","185,000","7,712",379,https://kream.co.kr/products/52130
Nike,Nike x Peaceminusone Air Force 1 Low Para-Noise 2.0,나이키 x 피스마이너스원 에어포스 1 로우 파라노이즈 2.0,25620,DD3223-100,20/11/25,WHITE/BLACK-WHITE,"219,000원","550,000",2.4만,"5,468",https://kream.co.kr/products/25620
Nike,(W) Nike Dunk Low Venice,(W) 나이키 덩크 로우 베니스,47877,DD1503-116,22/01/03,WHITE/VENICE,"129,000원","200,000",1.8만,180,https://kream.co.kr/products/47877
Nike,Nike x Supreme Air Force 1 Low Black,나이키 x 슈프림 에어포스 1 로우 블랙,23626,CU9225-001,20/03/05,BLACK/BLACK-BLACK,"$96 (약 117,700원)","178,000",1.4만,345,https://kream.co.kr/products/23626
Jordan,Jordan 1 x Travis Scott x Fragment Retro Low OG SP Military Blue,조던 1 x 트래비스 스캇 x 프라그먼트 레트로 로우 OG SP 밀리터리 블루,38367,DM7866-140,21/08/13,SAIL/BLACK/MILITARY BLUE,"189,000원","1,674,000",2.1만,"4,610",https://kream.co.kr/products/38367
Adidas Yeezy,Adidas Yeezy Boost 350 V2 Beluga - Reflective,아디다스 이지 부스트 350 V2 벨루가 - 리플렉티브,46666,GW1229,21/12/18,BELUGA RF/STEEPLE GREY/SOLAR RED,"329,000원","330,000","7,578",561,https://kream.co.kr/products/46666
