rank,brand,product,price,sale_price,increase,increase_cnt,no_deli
103위,브렌슨,[패키지]와이드핏트레이닝스웨트팬츠,"66,800원","39,900원",1,23,-
104위,비바스튜디오,BLACKCATSHORTSLEEVE[WHITE],"39,000원","33,150원",0,1,-
105위,페플,[패키지]더블코튼무지반팔패키지KHST1011,"31,800원","29,900원",1,35,-
106위,반스,컴피쿠시원-(체커보드)블랙:마시멜로우,"109,000원",-,0,25,-
107위,토피,2WAY스웻후드집업(MELANGEGREY),"45,000원","39,000원",1,14,-
108위,폴로 랄프 로렌,아이코닉럭비셔츠-그레이,"199,000원",-,0,59,-
109위,에스에스알엘,dualpocketmessengerbag/black,"119,000원","92,800원",1,153,-
110위,말본 골프,M버킷클래식보스턴백IVORY,"399,000원",-,0,42,-
111위,캘빈클라인 진,[박서준착용]남화이트레귤러핏인스티튜셔널로고스트레치반팔티셔츠J321612YAF,"45,000원","37,000원",0,31,-
112위,엠엘비,베이직스몰로고반팔티셔츠NY(Black),"39,000원",-,1,33,-
113위,무신사 스탠다드,와이드핏치노쇼츠[베이지],"24,900원",-,0,43,-
114위,컨버스,척70빈티지캔버스울프그레이170555C,"95,000원",-,0,1,-
115위,캘빈클라인 진,[박서준착용]남J320770YAF화이트클래식모노그램로고반팔티셔츠,"79,000원","64,900원",0,85,-
116위,스파오,[COOLTECH]라이트윈드브레이커_SPJJC25C23,"35,900원","32,310원",0,5,-
117위,스탠드오일,OblongbagMini·오블롱백미니,"96,000원",-,1,999,-
118위,토피,와이드데님팬츠(DEEPGREY),"49,000원","39,000원",0,59,-
119위,아카이브앱크,minibowlingbag(Deepsleep)_OVBLX22009BLK,"79,000원",-,1,1,-
120위,알파 인더스트리,MA-1레귤러배틀워시GunMetal,"285,000원",-,1,999,-
121위,제멋,[패키지]에디오버핏반팔티셔츠패키지KJST2189,"43,800원","35,900원",1,36,-
122위,닥터마틴,1B99버지니아14홀부츠블랙/11820008,"280,000원",-,1,828,-
123위,코드그라피,[SET]YKK2-WAY테크숏자켓셋업_블랙,"127,900원","79,900원",1,31,-
124위,인템포무드,리넨슈퍼와이드데님팬츠_인디고,"99,000원","79,200원",0,69,5/6배송 예정
125위,비긴202,[ConeMills]OneTuckWideDenimPants,"128,000원","89,600원",1,120,-
126위,디스커버리 익스페디션,조거플렉스FLEX(LIGHTBEIGE),"109,000원",-,1,1,-
127위,아워스코프,LozengeHalfKnit(Green),"109,000원","98,100원",1,205,5/6배송 예정
128위,컨버스,척70빈티지캔버스울프그레이170552C,"99,000원",-,1,50,-
129위,리,빅트위치로고티셔츠그린,"35,000원",-,1,157,-
130위,토앤토,플립플랍ZEROVITY크림,"44,000원","41,800원",1,8,-
131위,브라운브레스,TAGKPTEE-BLACK,"36,000원","32,400원",1,70,-
132위,프라다,공용사피아노레더카드홀더-블랙/2MC223QMEF0632,"480,000원","349,000원",0,45,새벽배송 예정
133위,반스,어센틱44DX-(애너하임팩토리)OG에메랄드그린/VN0A38ENVKZ1,"95,000원",-,1,20,-
134위,닥터마틴,클라리사ll쿼드블랙샌들/24476001,"210,000원",-,0,56,-
135위,카멜워크,카멜파크반팔티셔츠(딥그린),"32,000원","22,500원",1,20,-
136위,코드그라피,[SET]YKK2-WAY테크숏자켓셋업_그레이,"127,900원","79,900원",0,2,-
137위,우알롱,Signaturejoggerpants-BLACK,"62,000원",-,1,23,-
138위,아디다스,알파바운스슬라이드-블랙/B41720,"59,000원","49,900원",1,743,-
139위,커버낫,라인서퍼맨티셔츠화이트,"39,000원","27,300원",0,9,-
140위,타미힐피거,린넨블렌드오버사이즈가디건(T12C3KCD130MT2L4M),"259,000원",-,1,999,-
141위,테이크이지,솔리드옥스포드오버셔츠(스카이블루),"67,000원","33,500원",-,-,-
142위,슈펜,[핏더사이즈X슈펜]Seku-shi(세쿠시)첼시부읏츠BYTM20W12,"139,000원","132,000원",1,90,-
143위,마르디 메크르디,TSHIRTFLOWERMARDI_BLACKCREAM,"42,000원","37,800원",1,40,5/9배송 예정
144위,스탠드오일,OblongbagTiny·오블롱백티니,"91,000원",-,1,440,-
145위,제로,DeepOneTuckSweatPants[Grey],"39,000원",-,0,96,5/3배송 예정
146위,예일,[COOLCOTTON]2PACKSMALLARCHTEEWHITE/BLACK,"78,000원","39,000원",1,76,-
147위,마리떼,WCLASSICLOGOTEEwhite,"39,000원","37,050원",1,55,-
148위,이벳필드,EBFD베츠반팔티셔츠블루,"39,000원","29,250원",1,28,-
